uptime_ms,accel_x,accel_y,gyro_z
21635,6.258,-0.976,-0.119
21737,5.688,-0.584,-0.101
21840,5.817,-0.622,-0.134
21942,5.554,-0.44,-0.319
22045,1.795,7.331,1.916
22238,-0.181,14.149,4.69
22341,0.502,7.79,0.159
22443,1.647,8.647,-2.816
22548,3.423,10.003,-0.339
22651,1.972,6.536,0.462
22753,2.346,9.62,-0.019
22856,3.27,9.787,-0.865
22960,3.691,13.278,-0.834
23063,3.576,8.973,-1.032
23165,3.366,8.81,0.451
23268,2.408,10.204,1.123
23373,2.059,9.533,1.637
23475,1.182,8.432,0.683
23578,1.388,8.418,-0.152
23680,2.537,10.635,-0.985
23787,3.428,10.956,-1.235
23923,2.767,7.968,0.076
24025,2.154,8.557,0.798
24128,2.509,10.596,0.792
24232,2.437,10.989,0.369
24335,1.719,8.638,0.111
24437,1.513,7.81,-0.123
24540,2.413,10.17,-1.101
24645,3.495,11.53,-0.574
24747,2.739,8.968,0.14
24850,2.264,9.476,0.517
24952,2.303,10.079,0.205
25057,2.226,10.601,-0.4
25159,2.537,9.332,0.234
25262,1.436,7.924,0.48
25364,2.815,11.468,-0.51
25469,3.165,11.98,-0.425
25572,2.451,8.671,-0.044
25674,1.814,7.939,0.046
25777,2.494,11.444,0.1
25884,3.007,12.1,0.527
26032,1.498,8.336,0.399
26134,1.958,9.845,-0.678
26237,3.217,11.626,-0.395
26342,2.03,8.236,0.461
26444,1.69,7.45,0.759
26547,2.102,10.984,0.727
26649,2.236,10.414,0.545
26754,2.413,8.609,-0.059
26856,3.442,10.323,0.018
26959,3.078,10.137,-0.475
27061,3.112,10.486,0.147
27166,2.044,10.347,0.619
27269,1.12,11.454,1.46
27371,-1.077,9.189,-2.106
27474,0.363,9.543,-4.718
27578,4.424,9.519,-1.438
27681,3.39,7.493,3.495
27783,2.154,14.667,7.291
27886,-2.078,11.995,3.413
27993,-2.949,8.221,-4.791
28154,3.878,14.868,-5.704
28256,4.539,6.177,0.836
28359,2.413,9.083,5.619
28463,1.848,15.083,5.771
28566,-2.159,9.983,0.516
28669,0.996,10.39,-4.986
28771,3.031,13.077,-4.577
28876,4.29,8.054,-0.839
28978,3.62,7.704,3.55
29081,1.24,11.655,4.231
29183,0.881,13.513,2.041
29288,-0.651,9.907,-3.93
29391,2.557,11.521,-4.713
29493,3.351,8.308,-1.563
29596,3.782,8.039,2.045
29700,2.384,11.693,4.502
29803,0.359,13.106,4.222
29906,-1.637,8.633,-1.865
30008,2.437,12.646,-6.288
30115,4.261,11.578,-3.242
30288,2.14,11.549,5.096
30391,1.379,13.982,5.322
30493,-2.312,8.456,-0.819
30598,1.019,10.927,-5.964
30701,3.811,11.827,-4.476
30803,4.228,7.402,-0.085
30906,2.638,10.228,4.396
31010,1.479,14.197,5.501
31113,-2.03,9.002,0.291
31215,-0.143,9.189,-5.412
31318,3.596,12.076,-4.386
31423,4.213,8.571,-0.089
31525,2.624,10.027,4.188
31628,0.876,11.779,3.739
31730,-0.852,8.705,-0.371
31835,2.159,10.242,-3.413
31938,3.332,9.572,-2.287
32040,3.347,8.394,0.977
32143,2.001,9.169,2.353
32250,1.455,8.997,0.974
32435,4.094,9.84,1.183
32538,3.098,8.48,1.131
32640,1.977,8.264,-0.633
32745,2.753,8.542,-2.033
32848,4.185,9.61,-1.048
32950,2.983,7.857,0.352
33053,3.055,8.58,1.135
33157,2.624,9.131,0.757
33260,2.432,8.178,0.134
33362,2.806,9.04,-0.637
33465,3.385,8.762,-0.858
33570,3.62,8.806,-0.393
33672,3.529,8.839,0.239
33775,3.107,8.437,0.621
33877,2.882,9.05,0.271
33982,2.743,8.494,-0.175
34084,3.155,8.207,-0.221
34187,3.409,8.537,0.006
34289,3.505,7.915,0.73
34396,3.62,9.38,0.477
34595,3.16,9.883,-1.188
34697,2.94,9.672,0.518
34800,1.546,9.62,-0.755
34904,1.623,8.542,-3.175
35007,3.845,9.902,-2.58
35109,4.908,8.149,2.477
35212,1.853,12.488,5.699
35317,0.799,12.454,3.626
35419,-1.733,7.106,-3.106
35522,2.231,12.718,-6.924
35624,4.405,11.027,-3.885
35729,4.821,7.13,1.841
35831,2.264,10.635,5.32
35934,2.255,15.035,5.707
36037,-1.359,9.361,0.531
36141,-0.229,8.614,-6.167
36244,3.486,14.126,-5.542
36346,4.323,9.414,-1.709
36449,3.61,7.843,3.64
36558,1.637,14.269,5.966
36769,0.047,8.791,-4.151
36871,2.887,12.406,-5.007
36974,3.845,9.246,-2.428
37078,4.031,7.292,2.054
37181,1.843,10.979,4.055
37283,1.479,11.942,3.373
37386,-0.694,8.475,-1.215
37491,2.293,10.29,-3.827
37593,3.237,10.141,-3.138
37696,3.758,7.824,0.099
37798,3.045,9.581,3.254
37903,1.446,11.444,3.252
38006,-0.014,9.102,0.691
38108,1.149,9.423,-2.982
38211,2.715,10.529,-3.395
38315,3.773,8.911,-1.188
38418,3.735,7.81,1.882
38520,2.513,10.826,3.81
38623,1.862,12.804,3.688
38730,-0.708,8.413,-1.418
38953,3.878,10.434,-3.816
39056,4.477,7.618,0.86
39158,2.312,10.199,4.042
39263,2.193,12.866,4.723
39366,-0.411,10.209,2.029
39468,-0.512,8.59,-3.507
39571,2.997,12.746,-5.56
39675,3.974,11.233,-2.608
39778,4.137,7.426,2.245
39881,2.331,10.477,4.753
39983,1.824,14.288,4.926
40088,-0.914,10.151,-0.303
40190,1.058,9.648,-5.869
40293,3.62,13.843,-4.706
40395,4.505,8.145,-0.759
40500,2.739,10.074,4.173
40603,1.795,13.311,5.215
40705,-0.713,9.926,2.198
40808,-0.804,8.422,-4.074
40915,3.572,13.254,-4.905
41151,3.146,9.227,3.337
41253,2.102,12.89,4.969
41356,-0.143,10.534,2.661
41461,-0.861,7.877,-3.194
41563,3.083,12.272,-4.852
41666,3.543,10.209,-2.944
41768,3.797,7.584,1.231
41873,2.375,9.715,3.757
41975,1.743,12.598,3.887
42078,-0.215,9.888,0.262
42180,0.919,9.394,-4.026
42285,2.973,11.645,-3.973
42388,4.022,8.767,-1.296
42490,3.811,7.747,2.554
42593,2.015,11.195,3.947
42697,0.507,11.851,3.157
42800,-1.034,7.412,-2.637
42903,2.758,11.276,-4.815
43005,3.634,10.434,-3.006
43112,4.036,7.68,1.133
43361,0.727,12.033,3.146
43463,-0.991,8.044,-2.497
43566,2.566,11.731,-5.171
43670,3.672,11.104,-3.14
43773,4.185,7.297,1.246
43876,2.513,11.324,4.285
43978,1.929,12.742,3.973
44083,-0.78,8.504,0.629
44185,0.387,9.198,-4.534
44288,3.428,12.517,-5.032
44390,4.276,9.289,-1.605
44495,3.447,8.523,2.968
44598,2.202,12.086,4.913
44700,0.636,11.846,3.271
44803,-1.115,8.533,-2.738
44907,2.767,11.861,-5.195
45010,3.533,11.07,-2.795
45112,3.572,7.556,1.032
45215,1.972,9.126,3.184
45322,0.785,9.797,1.228
45583,0.526,8.94,-0.616
45686,1.494,9.873,-2.343
45788,2.753,9.351,-1.962
45893,3.538,8.911,-0.378
45995,2.705,9.356,2.909
46098,1.532,11.272,3.822
46200,-0.143,10.558,1.643
46305,-0.277,9.725,-3.887
46408,3.107,11.817,-4.839
46510,4.103,9.074,-0.578
46613,3.055,8.796,3.202
46717,2.044,11.913,4.44
46820,0.469,12.847,3.33
46923,-1.608,7.599,-3.17
47025,2.743,12.354,-5.09
47130,3.629,10.75,-2.911
47232,4.098,7.47,2.014
47335,1.743,11.09,3.871
47437,1.527,11.128,3.075
47544,-0.818,9.873,0.779
47818,3.433,9.663,-2.146
47921,3.16,7.991,1.707
48023,1.867,10.596,3.305
48128,0.895,10.558,1.838
48230,1.278,9.179,-1.245
48333,3.093,11.051,-1.266
48436,2.303,8.092,0.657
48540,1.733,7.58,1.666
48643,1.527,7.963,0.119
48745,2.15,7.805,-0.03
48848,2.791,9.615,-0.319
48952,5.166,11.664,0.469
49055,4.956,8.059,0.961
49157,4.908,7.905,1.598
49260,6.363,5.918,2.172
49365,7.029,3.921,2.337
49467,9.375,0.507,1.196
49570,8.408,-0.656,0.026
49672,7.331,-0.761,-2.359
49779,7.594,-1.35,-0.249
50066,5.224,-0.919,0.168
50168,5.061,-0.766,0.809
50271,4.074,-0.426,2.68
50375,4.18,-1.316,1.464
50478,2.853,-1.508,0.687
50580,3.557,-1.608,0.885
50683,2.604,-1.283,0.616
50788,2.49,-1.379,-0.004
50890,3.696,-1.944,-2.26
50993,5.07,-0.794,-1.342
51095,2.523,-1.0,-1.286
51200,4.357,-1.125,-1.291
51302,3.38,-1.13,-0.345
51405,0.225,-0.9,0.001
51507,0.512,-1.086,-0.316
51612,-0.162,-2.135,-2.742
51715,0.679,-0.756,-1.442
51817,0.383,-0.785,-1.15
51920,0.296,-1.599,-0.807
52027,1.714,-1.154,-0.536
52433,0.469,-0.521,0.336
52535,-0.684,-0.464,-2.2
52638,-1.494,1.738,-2.184
52742,4.108,-0.363,-0.899
52845,0.981,-2.327,-2.334
52947,3.007,-1.814,-1.159
53050,2.648,0.814,-0.806
53155,2.446,1.656,-0.232
53257,2.719,0.421,0.819
53360,1.158,-0.823,0.073
53462,1.719,-1.881,0.436
53567,1.479,-0.847,0.049
53669,1.786,-0.766,0.327
53772,1.489,-0.459,-0.074
53874,2.973,-2.949,0.563
53979,-0.474,-2.327,-0.149
54082,0.641,-2.001,-0.276
54184,0.584,-1.072,0.231
54287,0.296,-1.273,-0.164
54395,0.191,-1.455,-0.026
54707,0.354,-1.192,0.0
54809,0.354,-1.192,0.001
54912,0.349,-1.192,-0.001
55017,0.354,-1.187,-0.014
55119,0.349,-1.187,-0.017
55222,0.354,-1.197,-0.01
55324,0.354,-1.197,-0.003
55429,0.354,-1.173,-0.012
55531,0.354,-1.187,-0.005
55634,0.349,-1.187,-0.005
55736,0.339,-1.173,-0.009
55848,0.344,-1.187,-0.015
55959,0.344,-1.182,-0.005
56062,0.339,-1.182,-0.005
56164,0.344,-1.187,-0.013
56269,0.344,-1.173,-0.008
56372,0.349,-1.192,-0.007
56474,0.344,-1.187,-0.006
56577,0.344,-1.173,-0.006
56684,0.344,-1.182,-0.017
57008,0.354,-1.163,-0.02
57110,0.344,-1.177,-0.021
57213,0.335,-1.177,-0.014
57317,0.33,-1.173,-0.015
57420,0.335,-1.173,-0.018
57522,0.344,-1.168,-0.026
57625,0.325,-1.177,-0.02
57730,0.339,-1.163,-0.021
57832,0.335,-1.163,-0.036
57935,0.325,-1.192,-0.015
58037,0.325,-1.154,-0.036
58142,0.33,-1.168,-0.047
58244,0.335,-1.163,-0.052
58347,0.32,-1.182,-0.061
58449,0.316,-1.154,-0.074
58554,0.316,-1.158,-0.082
58656,0.32,-1.149,-0.116
58759,0.306,-1.11,-0.165
58861,0.296,-1.139,-0.127
58969,0.306,-1.115,-0.031
59305,0.292,-1.177,-0.013
59408,0.33,-1.106,-0.023
59510,0.292,-1.168,-0.02
59615,0.311,-1.115,-0.036
59717,0.292,-1.192,-0.001
59820,0.306,-1.134,-0.002
59922,0.306,-1.144,-0.009
60027,0.32,-1.106,-0.024
60130,0.287,-1.168,-0.013
60232,0.277,-1.192,-0.015
60335,0.301,-1.149,-0.001
60439,0.32,-1.106,-0.017
60542,0.292,-1.177,0.0
60644,0.282,-1.187,0.0
60747,0.311,-1.139,0.0
60852,0.311,-1.144,0.002
60954,0.306,-1.158,0.001
61057,0.306,-1.177,0.0
61159,0.316,-1.144,0.0
61266,0.311,-1.149,0.0
61615,0.311,-1.149,0.001
61718,0.311,-1.158,0.0
61820,0.311,-1.154,0.0
61925,0.301,-1.154,0.001
62028,0.071,-0.976,-0.011
62130,-0.038,-0.981,0.005
62233,-0.244,0.057,0.72
62337,0.229,2.173,0.888
62440,0.249,4.75,1.568
62542,0.234,6.517,2.297
62645,5.947,11.066,3.196
62749,3.035,9.409,3.322
62852,2.667,9.739,2.049
62954,2.748,8.734,0.306
63057,1.79,7.618,-2.036
63162,3.596,7.699,-2.414
63264,3.955,9.677,-1.253
63367,3.629,8.303,0.693
63469,2.767,8.102,1.565
63576,2.513,9.069,2.272
63938,2.853,8.528,-3.252
64041,4.18,11.597,-2.707
64143,4.271,10.362,-1.92
64248,3.739,7.766,0.49
64350,3.16,9.026,2.411
64453,3.055,10.046,2.994
64555,2.509,10.826,2.677
64660,2.154,9.778,1.206
64763,1.532,7.843,-1.023
64865,2.916,9.414,-2.7
64968,3.768,9.232,-3.025
65072,4.438,10.515,-2.114
65175,4.122,8.317,-0.142
65278,3.074,8.772,1.877
65380,3.078,9.677,3.09
65485,2.547,11.841,2.976
65587,1.982,9.778,1.851
65690,1.565,7.589,-0.671
65792,2.466,8.293,-2.469
65899,4.395,13.532,-3.226
66274,2.715,8.178,2.802
66376,3.059,12.157,3.976
66479,2.82,13.335,3.732
66584,1.139,7.383,0.831
66686,1.819,8.073,-2.824
66789,3.825,12.507,-4.698
66891,4.098,12.411,-3.709
66996,3.907,8.25,-1.349
67098,3.371,5.985,1.432
67201,2.829,9.236,3.46
67304,3.466,13.369,4.41
67408,2.082,11.952,3.325
67511,0.895,7.58,-0.676
67613,2.614,8.647,-3.42
67716,3.691,11.779,-3.826
67821,4.309,11.382,-2.826
67923,3.778,7.388,-0.547
68026,3.519,7.991,2.229
68128,2.829,10.515,3.918
68235,2.662,13.699,4.136
68622,4.161,12.133,-4.167
68725,4.204,10.879,-2.662
68827,3.873,7.158,0.131
68932,3.117,7.082,2.717
69034,3.184,12.196,4.233
69137,2.853,13.321,4.211
69240,1.019,9.203,1.357
69344,1.977,7.517,-3.11
69447,3.495,12.1,-4.348
69549,4.534,11.717,-3.491
69652,4.17,9.38,-1.286
69757,3.514,7.45,1.609
69859,2.863,8.901,3.409
69962,2.853,13.613,4.201
70064,1.867,10.793,2.91
70169,0.761,6.679,-1.303
70271,2.518,9.05,-4.848
70374,4.156,12.368,-4.376
70476,4.64,11.947,-2.509
70583,3.749,7.015,0.192
70983,0.828,8.365,1.374
71086,1.106,6.828,-2.738
71188,3.184,11.501,-4.671
71293,4.52,13.398,-3.738
71395,4.027,9.61,-2.038
71498,3.902,7.436,0.816
71600,3.083,8.782,3.094
71705,2.863,12.928,4.165
71808,2.298,11.492,3.204
71910,0.861,7.881,-0.181
72013,2.197,7.704,-3.034
72117,3.873,11.023,-3.303
72220,3.873,9.936,-2.429
72322,3.586,7.216,-0.297
72425,3.524,8.604,1.547
72530,2.916,9.576,2.416
72632,2.437,10.295,1.61
72735,2.044,7.058,0.217
72837,2.576,8.36,-2.139
72946,3.811,9.026,-1.818
73358,2.844,9.318,0.64
73461,2.6,7.987,0.781
73563,2.164,8.217,-0.517
73668,3.667,9.007,-0.448
73771,3.658,9.998,0.131
73873,0.478,9.169,-1.835
73976,-0.675,9.624,-1.17
74080,-2.552,10.86,-0.932
74183,-3.907,10.893,-0.986
74285,-1.417,6.569,-2.021
74388,-3.782,6.306,-1.061
74493,-4.242,5.856,-0.514
74595,-5.626,5.41,-0.464
74698,-4.798,3.95,-1.27
74800,-4.223,4.434,-0.723
74905,-2.82,2.743,-0.306
75007,-2.37,-0.134,-1.763
75110,-1.359,-1.345,-1.359
75213,0.785,-0.828,-0.782
75320,1.201,-3.136,-0.423
75744,0.775,-3.313,-0.677
75847,1.474,-5.219,-0.661
75949,3.624,-5.042,-0.047
76054,2.997,-3.323,-0.132
76157,2.758,-3.711,0.055
76259,3.605,-3.706,-0.055
76362,0.972,-3.495,1.216
76466,-1.019,-2.111,0.776
76569,2.035,-1.35,3.111
76671,1.771,-0.498,2.207
76774,-2.193,-1.891,1.014
76879,-0.919,-0.9,0.673
76981,0.378,-0.785,0.203
77084,0.067,-1.067,-0.061
77186,0.229,-1.063,-0.059
77291,0.129,-1.163,-0.025
77393,0.186,-1.12,-0.029
77496,0.172,-1.154,0.004
77598,0.172,-1.163,-0.001
77705,0.172,-1.206,0.01
78143,0.172,-1.264,0.003
78245,0.181,-1.154,-0.014
78348,0.181,-1.254,-0.019
78452,0.191,-1.264,-0.006
78555,0.167,-1.35,-0.001
78657,0.114,-1.517,-1.264
78760,-0.014,-1.838,0.908
78864,0.129,0.033,0.914
78967,0.339,0.828,1.076
79070,0.689,4.64,1.819
79172,1.661,7.632,3.017
79277,1.484,10.836,2.95
79379,1.221,12.153,2.336
79482,1.264,8.403,0.518
79584,0.335,4.989,-2.475
79689,3.414,8.609,-1.378
79791,3.146,9.337,1.304
79894,1.072,6.981,1.954
79997,3.591,14.001,0.944
80104,0.521,8.47,-2.747
80554,2.006,10.745,3.885
80656,-0.78,13.953,1.625
80759,1.733,9.6,1.891
80863,0.105,8.106,-1.723
80966,2.877,9.988,-4.598
81068,3.428,13.661,-4.191
81171,3.869,10.027,-2.354
81276,3.395,7.637,1.236
81378,2.279,8.068,3.251
81481,2.418,12.172,4.029
81583,1.757,12.129,2.763
81688,0.708,7.762,-1.001
81790,2.116,8.873,-2.738
81893,3.232,11.386,-2.543
81995,2.944,7.493,-1.098
82100,3.007,8.499,0.512
82203,2.935,10.75,1.018
82305,2.422,9.576,1.147
82413,2.159,9.543,1.023
82553,1.575,8.207,1.314
83159,3.15,7.738,1.707
83261,2.494,10.194,3.995
83364,2.279,13.062,4.682
83469,0.584,10.539,3.12
83571,0.234,6.339,-1.514
83674,2.839,13.139,-5.059
83776,3.471,12.727,-5.579
83881,3.897,11.209,-2.805
83983,3.706,7.991,0.387
84086,2.528,7.934,3.264
84188,2.47,12.009,4.829
84293,1.843,14.102,4.504
84396,0.727,9.83,1.587
84498,1.082,7.053,-2.931
84601,2.839,11.837,-4.322
84705,3.926,13.24,-3.906
84808,3.749,9.404,-1.865
84911,3.442,6.881,1.139
85013,2.595,9.964,3.317
85120,2.47,12.359,4.363
85595,3.481,11.578,-3.776
85698,3.845,11.262,-1.898
85800,3.447,7.872,0.699
85905,2.557,9.514,3.141
86007,2.399,11.573,3.952
86110,1.292,10.941,2.993
86212,0.574,7.565,-0.368
86317,2.308,9.404,-3.105
86420,3.16,11.219,-3.625
86522,3.811,11.434,-2.739
86625,3.553,8.647,-0.753
86729,2.968,7.877,1.825
86832,2.628,10.165,3.321
86934,2.102,12.1,3.721
87037,1.326,10.17,2.043
87142,0.914,7.647,-1.485
87244,2.025,9.356,-4.004
87347,3.581,11.353,-3.63
87449,3.399,8.609,-1.518
87556,3.232,7.742,1.019
88044,1.877,8.7,-3.07
88147,3.418,12.071,-3.122
88249,3.495,10.247,-1.878
88354,3.241,8.375,0.057
88470,2.504,8.513,1.953
88576,2.193,9.94,2.805
88685,1.115,9.983,2.036
88790,1.647,10.223,0.263
88892,1.833,9.576,-2.982
88995,2.695,11.861,-3.865
89097,3.227,9.236,-1.967
89202,3.122,7.422,0.441
89304,2.901,9.251,3.227
89407,2.14,13.182,4.214
89510,1.173,11.315,3.233
89614,0.636,8.217,-1.001
89717,1.752,8.777,-4.245
89819,3.735,12.813,-3.656
89922,3.591,10.027,-1.906
90029,3.323,7.642,0.616
90529,1.551,8.308,-3.438
90632,3.208,11.406,-3.628
90734,3.548,10.247,-2.608
90839,3.553,8.24,0.015
90941,2.686,7.417,2.253
91044,2.159,11.214,3.203
91147,2.001,12.052,2.912
91251,0.521,8.475,0.901
91354,1.881,8.308,-1.747
91456,3.399,10.362,-2.537
91559,3.538,11.631,-3.519
91664,3.907,10.841,-1.995
91766,3.237,8.983,0.155
91869,2.557,8.279,2.28
91971,2.202,10.625,4.085
92076,1.738,12.186,3.463
92178,0.603,7.814,0.779
92281,1.163,7.848,-3.26
92383,3.375,11.612,-3.966
92492,3.596,11.947,-3.478
93005,1.647,11.827,2.764
93108,0.632,7.192,-1.03
93210,1.79,9.083,-3.819
93315,3.481,12.201,-4.05
93417,3.931,12.598,-2.721
93520,3.371,7.398,-0.275
93622,2.719,7.57,2.613
93727,2.571,11.281,4.195
93830,2.145,12.421,3.797
93932,1.106,9.471,0.959
94035,1.254,7.082,-2.31
94139,3.26,10.989,-3.388
94242,3.921,12.608,-3.162
94345,3.586,10.462,-2.071
94447,3.251,7.374,0.572
94552,2.427,8.47,2.758
94654,2.437,11.913,3.422
94757,1.992,11.726,3.532
94859,0.871,8.662,1.148
94966,1.168,7.11,-2.224
95492,2.71,9.452,2.797
95594,2.437,11.123,3.535
95697,1.819,10.472,2.618
95801,1.106,8.504,-0.481
95904,1.824,8.13,-2.621
96007,2.863,10.165,-3.075
96109,3.486,9.816,-1.717
96214,3.184,8.087,0.095
96316,3.433,9.011,1.707
96419,2.849,10.28,1.886
96521,2.485,10.735,1.18
96626,1.489,7.412,-0.567
96729,2.48,8.628,-1.162
96831,3.102,8.896,-1.284
96934,3.217,8.379,-0.82
97038,2.059,8.126,-0.203
97141,3.375,6.421,-1.015
97243,-2.212,10.927,-0.985
97346,0.052,8.509,-0.938
97453,-0.339,6.124,-1.399
97991,-2.461,1.781,2.356
98093,-10.309,9.524,-1.602
98196,-7.68,4.673,0.052
98301,-7.671,2.868,0.521
98403,-7.905,4.774,0.382
98506,-8.073,4.932,0.101
98608,-7.45,5.181,0.578
98713,-8.571,3.873,0.084
98815,-7.661,4.745,-0.151
98918,-7.441,4.783,0.052
99020,-7.297,3.754,-0.21
99125,-7.441,3.241,-0.983
99228,-5.621,2.298,0.299
99330,-6.397,2.063,-0.609
99433,-4.352,1.403,-2.206
99537,-3.304,0.617,-1.76
99640,1.489,-0.895,-0.662
99742,2.322,-0.253,-1.409
99845,-1.134,-0.617,-0.459
99952,3.62,-2.236,1.371
100502,-0.181,-1.23,0.659
100605,0.646,-1.589,0.105
100707,0.44,-1.584,0.001
100812,0.478,-1.632,0.001
100915,0.488,-1.642,0.003
101017,0.483,-1.642,0.002
101120,0.498,-1.632,0.005
101224,0.493,-1.652,0.079
101327,0.43,-1.675,0.042
101429,0.478,-1.661,0.006
101532,0.478,-1.647,0.003
101637,0.464,-1.637,0.003
101739,0.459,-1.637,0.003
101842,0.469,-1.632,0.003
101944,0.469,-1.637,0.002
102049,0.469,-1.608,0.005
102151,0.459,-1.618,0.003
102254,0.454,-1.623,0.001
102356,0.464,-1.618,0.001
102463,0.474,-1.623,0.0
103026,0.454,-1.623,0.001
103129,0.464,-1.623,0.001
103231,0.498,-1.618,0.209
103336,0.421,-1.589,0.006
103439,0.43,-1.618,0.0
103541,0.435,-1.647,0.0
103644,0.43,-1.628,0.001
103748,0.44,-1.637,0.001
103851,0.445,-1.623,0.001
103953,0.445,-1.637,0.001
104056,0.45,-1.618,0.0
104161,0.43,-1.613,0.0
104263,0.43,-1.632,0.0
104366,0.435,-1.628,0.002
104468,0.44,-1.632,0.001
104573,0.435,-1.632,0.0
104675,0.44,-1.632,0.0
104778,0.45,-1.632,0.002
104880,0.43,-1.632,0.0
104987,0.45,-1.623,-0.001
105563,0.44,-1.723,0.149
105666,0.45,-1.781,0.101
105768,0.292,-1.766,0.009
105873,0.368,-1.757,0.003
105975,0.378,-1.776,0.002
106078,0.373,-1.752,0.002
106180,0.368,-1.766,0.001
106285,0.373,-1.757,0.0
106387,0.368,-1.776,0.0
106490,0.373,-1.757,0.002
106592,0.373,-1.762,0.001
106697,0.373,-1.762,0.001
106800,0.363,-1.766,0.001
106902,0.378,-1.766,0.0
107005,0.368,-1.762,0.0
107109,0.373,-1.766,0.0
107212,0.373,-1.762,0.0
107314,0.368,-1.757,0.002
107417,0.373,-1.766,0.0
107524,0.368,-1.766,0.001
108112,0.378,-1.766,0.0
108215,0.368,-1.766,0.002
108317,0.373,-1.776,0.001
108422,0.373,-1.766,0.001
108524,0.373,-1.766,0.001
108627,0.368,-1.776,0.0
108729,0.368,-1.766,-0.001
108834,0.373,-1.776,0.001
108936,0.368,-1.771,0.001
109039,0.368,-1.771,0.0
109141,0.363,-1.766,0.001
109246,0.373,-1.766,0.001
109349,0.368,-1.781,0.001
109451,0.373,-1.762,-0.001
109554,0.368,-1.766,0.0
109658,0.373,-1.747,0.0
109761,0.373,-1.766,0.0
109863,0.368,-1.762,0.002
109966,0.383,-1.771,0.001
110073,0.373,-1.771,0.0
110674,0.373,-1.766,0.002
110776,0.368,-1.762,0.001
110879,0.383,-1.771,0.0
110983,0.373,-1.771,0.0
111086,0.363,-1.766,0.001
111188,0.359,-1.776,0.0
111291,0.359,-1.766,-0.001
111396,0.368,-1.771,0.0
111498,0.373,-1.771,0.0
111601,0.363,-1.766,-0.001
111703,0.373,-1.771,0.001
111808,0.373,-1.762,0.0
111910,0.368,-1.776,0.001
112013,0.373,-1.766,0.001
112115,0.378,-1.766,0.01
112220,0.258,-1.671,-0.006
112323,0.421,-1.766,0.077
112425,0.344,-1.891,0.025
112528,0.316,-1.829,-0.022
112637,0.502,-1.728,0.009
113250,0.498,-1.733,0.001
113353,0.488,-1.47,-0.003
113455,0.646,-1.924,0.004
113560,0.354,-1.695,-0.002
113662,0.483,-1.781,-0.019
113765,0.359,-1.623,0.099
113867,0.794,-2.475,-0.28
113972,0.205,-2.585,-0.777
114074,5.075,-2.226,0.786
114177,5.013,-3.323,-0.192
114280,5.444,-4.462,0.984
114384,5.324,-5.727,0.108
114487,5.717,-6.129,-0.015
114589,5.478,-6.052,-0.046
114692,5.693,-6.023,0.125
114797,5.449,-6.143,0.088
114899,5.094,-6.21,-0.047
115002,5.382,-6.282,0.069
115104,4.826,-6.287,0.023
